full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff
Keith Higgins Jr.,-3.3210791298436737,-2.5522810545186982,-0.7687980753249753,-1.9172035832767704,-0.14282841193831172,-0.49224905930361607,-0.5861174217272027,-0.08474330892401562,-0.09793734467375706,0.0,-0.8177581248397005,3.933243709894029,2565.329968141188
Afan Trnka,-3.3231345066414844,-2.913590458352581,-0.4095440482889035,-1.9704784322691693,-0.40008990388508764,-0.543022122198324,-0.22711220620481676,-0.07220238845706951,-0.11022945362701725,0.0,-1.1255438681674983,3.8814168141429994,3092.4501653632797
Joe Munden Jr.,-3.323534506256799,-2.8131907250231105,-0.5103437812336885,-2.035815892789508,-0.1601368155915223,-0.6172380166420799,-0.4675536811858254,0.06571377618264984,-0.10850387623051293,0.0,-0.8201649322814653,3.9589461577038545,2355.528691977067
JJ Kelly,-3.323606234994781,-2.5267162286286173,-0.7968900063661633,-1.7713589841976876,-0.20987134748264674,-0.5454858969482831,-0.47815858789557747,-0.22773580877305902,-0.09099560969752679,0.0,-1.0740886629015156,3.9389951491840254,2518.6910094284012
Bryce Johnson,-3.3239785927403998,-2.586480941800044,-0.7374976509403557,-1.7225871649362494,-0.15664283309193372,-0.7072509437718606,-0.45620535316892735,-0.1802173861732197,-0.10107491159820856,0.0,-1.1451860746352227,3.8842215639139606,3044.6172659123886
Steven Verplancken Jr.,-3.324037941259116,-2.584681193212624,-0.7393567480464921,-1.7425519112341041,-0.19583919616965426,-0.6462900858088655,-0.6525800825752721,-0.012079403052007859,-0.07469726241921217,0.0,-0.9289059474497398,3.9594935197952,2354.7879084493534
Sam Alamutu,-3.324665068790936,-2.5013152019393132,-0.8233498668516227,-1.8203804704581046,-0.13754071652765887,-0.5433940149535497,-0.7405681771808381,-0.007696288429276249,-0.07508540124150831,0.0,-0.7637164211519931,3.8566533548841355,3409.67086200329
Romad Dean,-3.324860142185603,-2.1835713371463377,-1.141288805039265,-1.7883421254348135,-0.17656087103562806,-0.2186683406758959,-0.8428361846526893,-0.19510064266495378,-0.10335197772162198,0.0,-0.6936818320980997,3.8101881804556066,4244.022531380242
Isaiah Rivera,-3.3261470054769164,-2.7322866769954084,-0.5938603284815083,-1.875836123859285,-0.2847278302300708,-0.5717227229060525,-0.46986705291582503,-0.02376067543572013,-0.10023260012996316,0.0,-0.9804438287018066,3.835329119008852,3709.6044389181307
Brantly Stevenson,-3.326881963161152,-2.6110450984284888,-0.715836864732663,-2.1496302987604747,-0.12966702907893132,-0.33174777058908267,-0.5631736629431002,-0.0790379045811433,-0.07362529720841934,0.0,-0.6140780014575767,3.9299747915930587,2589.9190075750726
Donovan Williams,-3.327705719858364,-2.453917974168045,-0.873787745690319,-1.9440855784007514,0.01553759496625201,-0.5253699907335455,-0.7756151037104813,0.005057580601917966,-0.1032302225817557,0.0,-0.6080050377471312,3.8727493145995435,3183.1619534787083
Matteus Case,-3.3283197834070193,-2.65474621597927,-0.6735735674277495,-1.7920606761920588,-0.24729561380504267,-0.6153899259821682,-0.5669583223440668,0.0010385711098006983,-0.10765381619348338,0.0,-0.9693007848708936,3.937270990289245,2525.1991488903495
CJ Evans,-3.328378859516569,-2.6177827994010885,-0.7105960601154803,-1.9434052372680581,-0.2285864278877736,-0.44579113424525674,-0.5718214959529087,0.00038636629383852206,-0.1391609304564101,0.0,-0.813152126295602,3.9201330505748126,2668.4440632029273
Nick Shogbonyo,-3.3285495921765182,-2.7150223257114074,-0.6135272664651109,-1.6141841588663635,-0.43111853477018725,-0.6697196320748564,-0.4149284456762691,-0.10240998890174292,-0.0961888318870989,0.0,-1.2994369876338854,3.81669793614847,4102.891527361395
Jaden Kempson,-3.330897399559961,-2.771708284726583,-0.5591891148333777,-1.9116682515516292,-0.3028956053584886,-0.557144427816465,-0.2785138706515477,-0.17999731926903506,-0.10067792491279495,0.0,-1.1407152773567835,3.9938887553251483,2139.588991929827
