full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff,nba_player_id,id_ambiguous,war,war_rate82,dollar_value
Sandro Mamukelashvili,1.0731743111832146,0.5545515875352935,0.2963964149981772,-0.4405670380782657,0.4353480977150872,0.559770527898472,0.06826090198096363,0.5111774127131661,-0.28304189969595256,0.2222263086497438,1.2232541386307727,4.521447446055312,10326.740461679983,1630572,False,4.556,4.67,13669097.0
Collin Murray-Boyles,1.0692060790815545,-0.1013010301965642,0.9951487959787764,-0.19287801367449597,0.20651061953135913,-0.11493363605342735,0.14672650908518248,0.2225969858817029,0.625825301011891,0.17535831329934237,0.9399992703715258,6.482488336699987,5023.83672291322,1642867,False,2.218,3.1899999999999995,6652715.0
Oso Ighodaro,1.0617613976986564,-0.22986733063432535,0.836079923882027,-1.1630679040647391,0.645341085014299,0.2878594884161148,0.4909892525239282,0.3737422597373528,-0.02865158837925409,0.4555488044509548,1.2782912447885124,4.757308380053434,9328.112621467026,1642345,False,3.082,3.082,9247266.0
Collin Gillespie,1.0570492137153384,0.9192347669952824,-0.008072038624264644,0.45221970380767423,0.374106803629363,0.09290825955824525,-1.3285717946323947,0.7760629225007609,0.5444368335073692,0.1458864853443207,1.7875148191957382,4.592818254470203,10008.160314056513,1631221,False,3.863,3.96,11589291.0
Ivica Zubac,1.0427472523583616,-1.1167664386054048,1.9637789016602378,-0.2306161297549107,-1.120754627262028,0.23460431841153384,1.9167526571426992,-0.7002913644215524,0.7473176089390912,0.1957347893035286,-0.8391240643329552,3.179172144249161,20887.408464470012,,True,,,
Tyrese Maxey,1.0405557995323012,1.6586577956206923,-0.6825280495282746,0.8457214168587539,1.266815248063912,-0.45387886930197346,-0.3901705864024161,0.06353904535654045,-0.3558965084823989,0.0644260534398835,0.52057891563608,2.815182663983931,26638.040022848465,1630178,False,4.061,4.757,12181855.0
Aaron Nesmith,1.0389895380003185,1.5325206068115502,-0.3780148990498199,1.3597845016013173,0.39074503693378343,-0.2180089317235505,0.31703833847021407,-0.23738694598214558,-0.4576662915378884,-0.11551616976141199,-0.522317132309801,3.4916468593692747,17316.201491784635,1630174,False,1.05,1.9130000000000003,3149082.0
De'Anthony Melton,1.0330042309670997,0.43282636608709946,0.4088264123787931,-0.27741786698727644,0.03561820808378254,0.6746260249905933,-0.40061258447148956,0.7020201664433418,0.10741883040694089,0.19135145250120722,1.5196832299246585,4.320691445158127,11308.529703377852,1629001,False,1.199,2.006,3596898.0
Toumani Camara,1.0246740582118168,-0.9215416497198449,1.6235635178883348,-0.810956714693585,-0.7888406489728205,0.6782557139465607,0.578731502336071,0.7247571193863375,0.32007489616592644,0.3226521900433269,0.9342470805260041,3.258763307108834,19879.568780626418,1641739,False,3.486,3.486,10458300.0
Gui Santos,1.0193694841875978,0.09048584154197381,0.38213278864879685,-0.6463223397586676,-0.14563216232032333,0.8824403436209647,0.2861145686275094,0.11967446233522741,-0.023656242313939924,0.5467508539968271,0.8328264013219288,5.327818422040499,7437.280816386007,1630611,False,2.135,2.575,6405523.0
D'Angelo Russell,0.953153132463105,0.23901600403119483,0.504512730596668,0.5391726372182106,0.051604945457207264,-0.3517615786442231,1.1680656440890482,-0.07418436434907191,-0.5893685491433084,0.20962439783524212,-0.9637095466793961,3.6221349642468694,16091.117353343232,1626156,False,0.223,0.704,669736.0
Josh Hart,0.9500311254865653,0.7847054610609964,0.26307834348477144,0.8688433896800594,-0.019285406329750315,-0.06485252228931271,-0.7725392057974718,0.38631435459225005,0.6493031946899932,-0.09775267905920237,0.9514796206631803,2.6945436434580845,29076.504969692825,1628404,False,2.624,3.31,7870909.0
Obi Toppin,0.9475366733083722,1.7990997933101687,-0.6812259310801854,1.261639880448351,0.3868570309376596,0.15060288192415816,-1.136910386782019,-0.013343347257687974,0.4690278029595217,-0.1703371889216111,0.9931443685636516,3.969574665075882,13397.527041300646,1630167,False,0.261,0.89,781707.0
Luke Kennard,0.9260299733620713,1.9654842331555085,-0.9840408300844607,2.7699566605531993,-0.1373476956506553,-0.6671247317470355,-0.26530107713990836,-0.29939863198149025,-0.41934112096306225,-0.05541342970897645,-1.5232121803422431,3.5140593879505544,17096.020221020306,1628379,False,0.815,0.856923076923077,2445129.0
Duncan Robinson,0.92078171118891,0.8396799562418303,-0.12606051939331,1.380259697758176,0.0038560200701904385,-0.5444357615865362,0.2692740858266956,-0.23745719657054884,-0.15787740864945676,0.20716227434038958,-0.9359143467363513,3.135713206678696,21470.740677537797,1629130,False,1.357,1.465,4072250.0
Naz Reid,0.8888776354067552,-0.7319433281146918,1.4773529845867612,-0.9677585096519845,0.3052185386227599,-0.06940335708546717,0.209220859869946,0.4273957158795032,0.8407364088373122,0.14346797893468577,1.503947306254108,3.0866187966974707,22158.821597695303,1629675,False,3.314,3.576,9941661.0
Devin Vassell,0.8797232718199469,0.3898932137618284,0.38582929142035205,1.1623217878128247,0.11219216003637567,-0.8846207340873719,0.81072283098458,-0.20377955727169056,-0.2211139822925374,0.10400076663776647,-1.1973221136152241,3.0168954003556885,23194.897677884604,1630170,False,2.523,3.088,7569589.0
Rui Hachimura,0.8695538522398537,0.2095214897005111,0.6626976472354287,1.3123125429893807,0.06609579014274596,-1.1688868434316155,1.1620159240691268,-0.3503756341984739,-0.14894264263522433,-0.0026652846960860677,-1.6021093301225677,3.1561414685404023,21193.359661604394,1629060,False,1.971,2.377,5913905.0
Svi Mykhailiuk,0.8683228451065378,0.47652790534536,0.11330679592246301,0.20588367603383712,-0.07716521797757299,0.34780944728909585,0.43813199468329456,-0.025175708469182937,-0.2996494902916486,0.2784881438387148,-0.05418096944930867,4.895078250217094,8810.353141915988,1629004,False,0.806,1.321,2417014.0
Delon Wright,0.7924966383378017,-0.6492620299624741,1.3071510407415028,-0.3147710344337766,0.2584659055081412,-0.5929569010368387,0.3595586584915848,0.8389574061990208,0.10863497605089723,0.13460762755877298,0.6131013867212205,5.46325423777817,7073.099552819266,1626153,False,,,
Landry Shamet,0.79038817216367,-0.48726024025482967,1.0899376774133496,-0.3853993687390862,0.4798218305363972,-0.5816827020521407,0.8179109073149348,0.3002112755892099,-0.028184505490795233,0.18771073500515,0.1701658985826712,4.1239325591473195,12413.36622475119,1629013,False,0.872,1.402,2616212.0
Ben Simmons,0.7859029551886271,0.0078127151788836,0.8253501600217459,1.0930714277029696,-0.11913687439068553,-0.9661218381334005,-0.017660657817300654,0.5537347987535038,0.28927601908554273,-0.04725992001200241,-0.24224789468503943,5.865777998051812,6135.67310985,1627732,False,,,
James Harden,0.7526504004036779,2.1359920218187876,-1.1328687615698037,3.18807543537275,0.02198335667345686,-1.0740667702274191,-0.8513826620242453,-0.15886604521546266,-0.12262005433009562,-0.250472859845306,-1.3335695130995207,2.6521448253844855,30013.625092305258,201935,False,1.943,2.2764857142857147,5829096.0
Nicolas Batum,0.7498626949883577,0.055080883549341986,0.5827926235367927,0.2158063666848457,0.1098474834500779,-0.2705729665855816,0.847600651018017,0.07832150731008908,-0.34312953479131336,0.1119891879022229,-0.425533510616728,3.6457563540466524,15883.189944842703,,True,,,
Otto Porter Jr.,0.748611490287635,-0.23156555032360662,0.4817230073980537,-0.27239919664539564,0.05784231906675972,-0.017008672744970692,0.20341122292386982,0.21226968410297312,0.06604210037121078,0.49845403321318793,0.3191454307959729,9.59909814670846,2291.1631825734607,203490,False,,,
Kris Dunn,0.7366348278604896,0.038676019741576806,0.6331756671684892,0.18165794439763466,0.2791423679820936,-0.42212429263815143,-0.8956271466956379,1.4750837482681693,0.0537190655959577,0.0647831409504237,1.3858208892080692,3.654118380623506,15810.649673645363,1627739,False,4.427,4.427,13281129.0
Brook Lopez,0.7292594194633356,-1.6046836832861828,2.235760010593983,-0.4269075469272829,0.12998768174698255,-1.3077638181058824,2.703513047409287,-0.7874312972502584,0.3196782604349541,0.09818309215553545,-1.645529173174204,3.063850048145199,22489.473553722404,201572,False,2.731,2.986,8194407.0
CJ McCollum,0.7210274424214412,1.2747028478698887,-0.6482538929438604,0.20657561055352375,0.9626435332943659,0.10548370402199911,0.42763428629525374,-0.40802739388670206,-0.6678607853524121,0.09457848749541287,-0.0077609419227491205,2.964865609606019,24016.250093873452,,True,,,
Onyeka Okongwu,0.6983891398038181,0.17791028948631735,0.5704263583643181,0.4263382862942406,-0.08331770429871628,-0.16511029250920697,-0.4413006084734066,0.41307209976190756,0.598654867075817,-0.04994750804681736,0.7632989700298014,3.177763435868225,20905.933937120288,1630168,False,4.533,5.023,13598488.0
Robert Covington,0.6906602628660926,0.06311153560002147,0.515593337279104,0.06537369616300709,0.2784068499681116,-0.2806690105310972,0.2854921238823237,0.5134580047811228,-0.2833567913843426,0.11195538998696719,0.22783905283379463,6.4013004077224265,5152.004037054305,203496,False,,,
A.J. Green,0.6845358248986734,-0.010285558472831968,0.6837700484522188,0.16049558764798572,0.22508038005574155,-0.39586152617655923,0.10890326716964692,0.08483189419323484,0.490034887089337,0.01105133491928656,0.40408563516175416,3.8720458467574383,14080.968037432609,,True,,,
Pelle Larsson,0.666561496409496,0.606272572374655,0.053727840286833854,0.9421767439895157,0.3133763029299604,-0.649280474544821,-0.3462460970312732,0.4154642647604274,-0.01549032744232038,0.006561083748007124,0.06406976570324646,4.8082608777208735,9131.383321886153,1641796,False,1.946,2.279,5837691.0
Kasparas Jakučionis,0.6609884664000628,0.5214226097131555,0.01236291142741458,-0.23978082788067354,0.608655197559277,0.15254824003455203,-0.6820975709624264,0.23347068913266045,0.46098979325718054,0.12720294525949283,1.45566391998367,7.428382992557942,3826.0254329988647,1642857,False,0.624,0.965,1871086.0
Davion Mitchell,0.647288087825988,0.017338439923020255,0.4943721758872935,-0.056889712442862894,0.4474526517314768,-0.37322449936559365,0.6253350046964022,0.16020042039710677,-0.29116324920621556,0.13557747201567427,-0.056734676443225635,3.4075845010951187,18181.078151807018,1630558,False,2.308,2.704,6923700.0
Jonathan Isaac,0.6354469053033097,-1.7524588095374474,1.5631079815661868,-3.248346726196998,0.1657576294553978,1.3301302872041527,0.7594786477738711,0.9378674168813487,-0.1342380830890331,0.8247977332745703,2.2995172504518657,5.691437829612289,6517.363164748489,1628371,False,0.85,1.367,2549710.0
Kristaps Porzingis,0.6327660853533684,0.4468520951453865,0.17378616173757921,0.5216561847412524,0.48954265968854177,-0.5643467492844076,0.8596278485277855,-0.9221946751916136,0.23635298840140728,0.012127828470402724,-0.7606457763860721,3.830488955952016,14388.186705527582,,True,,,
